ID,Headword,Language_ID,Part_Of_Speech,Description,URN,Source
urn-nabu-dict-wiktionary-akk-aklum-noun,aklum,akk,noun,alternative form of akalum (“food”),urn:nabu:dict:wiktionary-akk:aklum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ak-lum-verb,akālum,akk,verb,"to eat, consume",urn:nabu:dict:wiktionary-akk:akālum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-alaktum-noun,alaktum,akk,noun,"behaviour, customs",urn:nabu:dict:wiktionary-akk:alaktum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-alpum-noun,alpum,akk,noun,"ox, bull",urn:nabu:dict:wiktionary-akk:alpum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-al-kum-verb,alākum,akk,verb,"to go, move, proceed",urn:nabu:dict:wiktionary-akk:alākum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-amtum-noun,amtum,akk,noun,"female slave, female servant",urn:nabu:dict:wiktionary-akk:amtum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-amurdinnum-noun,amurdinnum,akk,noun,"bramble, blackberry",urn:nabu:dict:wiktionary-akk:amurdinnum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-amurrum-noun,amurrum,akk,noun,west,urn:nabu:dict:wiktionary-akk:amurrum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-am-rum-verb,amārum,akk,verb,"to see, behold, look at, observe, witness, examine, inspect, notice",urn:nabu:dict:wiktionary-akk:amārum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-am-lu-noun,amēlu,akk,noun,"Middle Babylonian, Standard Babylonian, Neo-Babylonian, and Late Babylonian form of awīlum",urn:nabu:dict:wiktionary-akk:amēlu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-am-lu-noun-2,amīlu,akk,noun,"Middle Babylonian, Standard Babylonian, Neo-Babylonian, and Late Babylonian form of awīlum",urn:nabu:dict:wiktionary-akk:amīlu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-am-lim-adv,amšālim,akk,adv,yesterday,urn:nabu:dict:wiktionary-akk:amšālim:adv,wiktionary-akk
urn-nabu-dict-wiktionary-akk-am-tum-noun,amūtum,akk,noun,"liver (of a sacrificial sheep, examined by the haruspex)",urn:nabu:dict:wiktionary-akk:amūtum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ana-prep,ana,akk,prep,"to, toward, onto",urn:nabu:dict:wiktionary-akk:ana:prep,wiktionary-akk
urn-nabu-dict-wiktionary-akk-andur-rum-noun,andurārum,akk,noun,"freedom, exemption",urn:nabu:dict:wiktionary-akk:andurārum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-anna-particle,anna,akk,particle,"yes, certainly",urn:nabu:dict:wiktionary-akk:anna:particle,wiktionary-akk
urn-nabu-dict-wiktionary-akk-annaku-noun,annaku,akk,noun,alternative form of annakum,urn:nabu:dict:wiktionary-akk:annaku:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-annakum-noun,annakum,akk,noun,"tin, lead",urn:nabu:dict:wiktionary-akk:annakum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ann-m-adj,annûm,akk,adj,"this, these",urn:nabu:dict:wiktionary-akk:annûm:adj,wiktionary-akk
urn-nabu-dict-wiktionary-akk-anta-pron,anta,akk,pron,Eblaite form of atta,urn:nabu:dict:wiktionary-akk:anta:pron,wiktionary-akk
urn-nabu-dict-wiktionary-akk-an-ku-pron,anāku,akk,pron,"I (first-person singular pronoun, nominative case)",urn:nabu:dict:wiktionary-akk:anāku:pron,wiktionary-akk
urn-nabu-dict-wiktionary-akk-apkallum-noun,apkallum,akk,noun,"sage. wise man, expert",urn:nabu:dict:wiktionary-akk:apkallum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-aplum-noun,aplum,akk,noun,"heir, oldest son",urn:nabu:dict:wiktionary-akk:aplum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-appum-noun,appum,akk,noun,nose,urn:nabu:dict:wiktionary-akk:appum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-aptum-noun,aptum,akk,noun,"window, window opening",urn:nabu:dict:wiktionary-akk:aptum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-aradum-noun,aradum,akk,noun,alternative form of wardum,urn:nabu:dict:wiktionary-akk:aradum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-arantum-noun,arantum,akk,noun,A type of grass (potentially fennel),urn:nabu:dict:wiktionary-akk:arantum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ardu-noun,ardu,akk,noun,alternative form of wardum,urn:nabu:dict:wiktionary-akk:ardu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ardum-noun,ardum,akk,noun,alternative form of wardum,urn:nabu:dict:wiktionary-akk:ardum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-argamannu-noun,argamannu,akk,noun,red purple,urn:nabu:dict:wiktionary-akk:argamannu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ariktum-noun,ariktum,akk,noun,"a weapon, a spear, lance, alternatively a bow (logically characterized by longness)",urn:nabu:dict:wiktionary-akk:ariktum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-arkum-adj,arkum,akk,adj,verbal adjective of arākum,urn:nabu:dict:wiktionary-akk:arkum:adj,wiktionary-akk
urn-nabu-dict-wiktionary-akk-arnum-noun,arnum,akk,noun,"crime, wrongdoing, offence, misdeed, guilt, fault, sin",urn:nabu:dict:wiktionary-akk:arnum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ar-kum-verb,arākum,akk,verb,"to be(come) long, last long",urn:nabu:dict:wiktionary-akk:arākum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ar-rum-noun,arārum,akk,noun,curse,urn:nabu:dict:wiktionary-akk:arārum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-ar-rum-verb,arārum,akk,verb,to curse,urn:nabu:dict:wiktionary-akk:arārum:verb,wiktionary-akk
urn-nabu-dict-wiktionary-akk-asum-noun-1,asum,akk,noun:1,myrtle,urn:nabu:dict:wiktionary-akk:asum:noun:1,wiktionary-akk
urn-nabu-dict-wiktionary-akk-asum-noun-2,asum,akk,noun:2,bear,urn:nabu:dict:wiktionary-akk:asum:noun:2,wiktionary-akk
urn-nabu-dict-wiktionary-akk-atarum-noun,atarum,akk,noun,alternative form of adārum,urn:nabu:dict:wiktionary-akk:atarum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-atta-pron,atta,akk,pron,"you, thou (second-person masculine singular personal pronoun, nominative case)",urn:nabu:dict:wiktionary-akk:atta:pron,wiktionary-akk
urn-nabu-dict-wiktionary-akk-atti-pron,atti,akk,pron,"you, thou (second-person feminine singular personal pronoun, nominative case)",urn:nabu:dict:wiktionary-akk:atti:pron,wiktionary-akk
urn-nabu-dict-wiktionary-akk-attina-pron,attina,akk,pron,"ye, you (second-person plural feminine personal pronoun, nominative case)",urn:nabu:dict:wiktionary-akk:attina:pron,wiktionary-akk
urn-nabu-dict-wiktionary-akk-attunu-pron,attunu,akk,pron,"ye, you (second-person plural masculine personal pronoun, nominative case)",urn:nabu:dict:wiktionary-akk:attunu:pron,wiktionary-akk
urn-nabu-dict-wiktionary-akk-at-mum-noun,atāmum,akk,noun,Earlier form of adāmum,urn:nabu:dict:wiktionary-akk:atāmum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-at-rum-noun,atārum,akk,noun,alternative form of adārum,urn:nabu:dict:wiktionary-akk:atārum:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-aw-tum-noun,awātum,akk,noun,"word, utterance",urn:nabu:dict:wiktionary-akk:awātum:noun,wiktionary-akk
