ID,Variant,Traditional,Variant_Codepoint,Traditional_Codepoint,Source
U-5941,奁,奩,U+5941,U+5969,unihan
U-5942,奂,奐,U+5942,U+5950,unihan
U-594B,奋,奮,U+594B,U+596E,unihan
U-5956,奖,奨,U+5956,U+5968,unihan
U-5965,奥,奧,U+5965,U+5967,unihan
U-596C,奬,奨,U+596C,U+5968,unihan
U-5986,妆,妝,U+5986,U+599D,unihan
U-5987,妇,婦,U+5987,U+5A66,unihan
U-5988,妈,媽,U+5988,U+5ABD,unihan
U-59A9,妩,嫵,U+59A9,U+5AF5,unihan
U-59AA,妪,嫗,U+59AA,U+5AD7,unihan
U-59AB,妫,媯,U+59AB,U+5AAF,unihan
U-5A05,娅,婭,U+5A05,U+5A6D,unihan
U-5A06,娆,嬈,U+5A06,U+5B08,unihan
U-5A2F,娯,娛,U+5A2F,U+5A1B,unihan
U-5A31,娱,娛,U+5A31,U+5A1B,unihan
U-5A32,娲,媧,U+5A32,U+5AA7,unihan
U-5A34,娴,嫻,U+5A34,U+5AFB,unihan
U-5A73,婳,嫿,U+5A73,U+5AFF,unihan
U-5A74,婴,嬰,U+5A74,U+5B30,unihan
U-5A75,婵,嬋,U+5A75,U+5B0B,unihan
U-5A76,婶,嬸,U+5A76,U+5B38,unihan
U-5AAA,媪,媼,U+5AAA,U+5ABC,unihan
U-5AAD,媭,嬃,U+5AAD,U+5B03,unihan
U-5AD2,嫒,嬡,U+5AD2,U+5B21,unihan
U-5AD4,嫔,嬪,U+5AD4,U+5B2A,unihan
U-5AF1,嫱,嬙,U+5AF1,U+5B19,unihan
U-5B00,嬀,媯,U+5B00,U+5AAF,unihan
U-5B37,嬷,嬤,U+5B37,U+5B24,unihan
U-5B66,学,學,U+5B66,U+5B78,unihan
U-5BA0,宠,寵,U+5BA0,U+5BF5,unihan
U-5BA1,审,審,U+5BA1,U+5BE9,unihan
U-5BAA,宪,憲,U+5BAA,U+61B2,unihan
U-5BAB,宫,宮,U+5BAB,U+5BAE,unihan
U-5BBD,宽,寬,U+5BBD,U+5BEC,unihan
U-5BDD,寝,寢,U+5BDD,U+5BE2,unihan
U-5BFB,寻,尋,U+5BFB,U+5C0B,unihan
U-5BFC,导,導,U+5BFC,U+5C0E,unihan
U-5C06,将,將,U+5C06,U+5C07,unihan
U-5C18,尘,塵,U+5C18,U+5875,unihan
U-5C27,尧,堯,U+5C27,U+582F,unihan
U-5C34,尴,尷,U+5C34,U+5C37,unihan
U-5C42,层,層,U+5C42,U+5C64,unihan
U-5C43,屃,屓,U+5C43,U+5C53,unihan
U-5C49,屉,屜,U+5C49,U+5C5C,unihan
U-5C66,屦,屨,U+5C66,U+5C68,unihan
U-5C7F,屿,嶼,U+5C7F,U+5DBC,unihan
U-5C82,岂,豈,U+5C82,U+8C48,unihan
U-5C96,岖,嶇,U+5C96,U+5D87,unihan
U-5C97,岗,崗,U+5C97,U+5D17,unihan
U-5C98,岘,峴,U+5C98,U+5CF4,unihan
U-5C99,岙,嶴,U+5C99,U+5DB4,unihan
U-5C9A,岚,嵐,U+5C9A,U+5D50,unihan
U-5C9B,岛,島,U+5C9B,U+5CF6,unihan
U-5CAD,岭,嶺,U+5CAD,U+5DBA,unihan
U-5CBD,岽,崬,U+5CBD,U+5D2C,unihan
U-5CBF,岿,巋,U+5CBF,U+5DCB,unihan
U-5CC3,峃,嶨,U+5CC3,U+5DA8,unihan
U-5CC4,峄,嶧,U+5CC4,U+5DA7,unihan
U-5CE1,峡,峽,U+5CE1,U+5CFD,unihan
U-5CE3,峣,嶢,U+5CE3,U+5DA2,unihan
U-5CE4,峤,嶠,U+5CE4,U+5DA0,unihan
U-5CE5,峥,崢,U+5CE5,U+5D22,unihan
U-5D02,崂,嶗,U+5D02,U+5D97,unihan
U-5D03,崃,崍,U+5D03,U+5D0D,unihan
U-5D04,崄,嶮,U+5D04,U+5DAE,unihan
U-5D2D,崭,嶄,U+5D2D,U+5D84,unihan
U-5D58,嵘,嶸,U+5D58,U+5DB8,unihan
U-5D5A,嵚,嶔,U+5D5A,U+5D94,unihan
U-5D5D,嵝,嶁,U+5D5D,U+5D81,unihan
U-5DC5,巅,巔,U+5DC5,U+5DD4,unihan
U-5DE9,巩,鞏,U+5DE9,U+978F,unihan
U-5DEF,巯,巰,U+5DEF,U+5DF0,unihan
U-5E01,币,幣,U+5E01,U+5E63,unihan
U-5E05,帅,帥,U+5E05,U+5E25,unihan
U-5E0F,帏,幃,U+5E0F,U+5E43,unihan
U-5E10,帐,帳,U+5E10,U+5E33,unihan
U-5E1C,帜,幟,U+5E1C,U+5E5F,unihan
U-5E26,带,帶,U+5E26,U+5E36,unihan
U-5E27,帧,幀,U+5E27,U+5E40,unihan
U-5E31,帱,幬,U+5E31,U+5E6C,unihan
U-5E32,帲,帡,U+5E32,U+5E21,unihan
U-5E3B,帻,幘,U+5E3B,U+5E58,unihan
U-5E3C,帼,幗,U+5E3C,U+5E57,unihan
U-5E86,庆,慶,U+5E86,U+6176,unihan
U-5E91,庑,廡,U+5E91,U+5EE1,unihan
U-5E93,库,庫,U+5E93,U+5EAB,unihan
U-5E9E,庞,龐,U+5E9E,U+9F90,unihan
U-5E9F,废,廢,U+5E9F,U+5EE2,unihan
U-5EBC,庼,廎,U+5EBC,U+5ECE,unihan
U-5EEA,廪,廩,U+5EEA,U+5EE9,unihan
U-5F02,异,異,U+5F02,U+7570,unihan
U-5F11,弑,弒,U+5F11,U+5F12,unihan
U-5F20,张,張,U+5F20,U+5F35,unihan
U-5F2A,弪,弳,U+5F2A,U+5F33,unihan
U-5F5D,彝,彞,U+5F5D,U+5F5E,unihan
U-5F5F,彟,彠,U+5F5F,U+5F60,unihan
U-5F68,彨,彲,U+5F68,U+5F72,unihan
U-5F7B,彻,徹,U+5F7B,U+5FB9,unihan
U-5F84,径,徑,U+5F84,U+5F91,unihan
U-5F95,徕,徠,U+5F95,U+5FA0,unihan
U-5FC6,忆,憶,U+5FC6,U+61B6,unihan
U-5FCF,忏,懺,U+5FCF,U+61FA,unihan
U-5FE7,忧,憂,U+5FE7,U+6182,unihan
U-5FFE,忾,愾,U+5FFE,U+613E,unihan
U-6001,态,態,U+6001,U+614B,unihan
U-6002,怂,慫,U+6002,U+616B,unihan
U-6003,怃,憮,U+6003,U+61AE,unihan
U-6004,怄,慪,U+6004,U+616A,unihan
U-6005,怅,悵,U+6005,U+60B5,unihan
U-6006,怆,愴,U+6006,U+6134,unihan
U-603B,总,總,U+603B,U+7E3D,unihan
U-603C,怼,懟,U+603C,U+61DF,unihan
U-603F,怿,懌,U+603F,U+61CC,unihan
U-6052,恒,恆,U+6052,U+6046,unihan
U-6073,恳,懇,U+6073,U+61C7,unihan
U-6078,恸,慟,U+6078,U+615F,unihan
U-6079,恹,懨,U+6079,U+61E8,unihan
U-607A,恺,愷,U+607A,U+6137,unihan
U-607B,恻,惻,U+607B,U+60FB,unihan
U-607D,恽,惲,U+607D,U+60F2,unihan
U-60A6,悦,悅,U+60A6,U+6085,unihan
U-60AC,悬,懸,U+60AC,U+61F8,unihan
U-60AD,悭,慳,U+60AD,U+6173,unihan
U-60AE,悮,悞,U+60AE,U+609E,unihan
U-60AF,悯,憫,U+60AF,U+61AB,unihan
U-60CA,惊,驚,U+60CA,U+9A5A,unihan
U-60E8,惨,慘,U+60E8,U+6158,unihan
U-60EB,惫,憊,U+60EB,U+618A,unihan
U-60EC,惬,愜,U+60EC,U+611C,unihan
U-60ED,惭,慚,U+60ED,U+615A,unihan
U-60EE,惮,憚,U+60EE,U+619A,unihan
U-60EF,惯,慣,U+60EF,U+6163,unihan
U-6124,愤,憤,U+6124,U+61A4,unihan
U-6126,愦,憒,U+6126,U+6192,unihan
U-6151,慑,懾,U+6151,U+61FE,unihan
U-616D,慭,憖,U+616D,U+6196,unihan
