ID,URN,Passage_SHA256,Cantiga_ID,Line,Stanza,Number_Gap,Primary_Text
l-1555-16,urn:nabu:cantigas:1555:16,6d42b2d3c909e066837590967a780fb93813c2c8154f2e5fc090a503d69e33b8,c-1555,16,4,,"E se nom, ficar-m'hei eu"
l-1555-17,urn:nabu:cantigas:1555:17,d11295a0dd139742bd3d027bb1e36e395ba95c77efd4d9ffa351a3f5bbf34c4b,c-1555,17,4,,na mia pousada.
l-1556-1,urn:nabu:cantigas:1556:1,212ce1a88856a1a6c16e2d5d85c65f28db6e54fb77ccab07526d5c3250dec37a,c-1556,1,1,,"Mentr'esta guerra foi, assi"
l-1556-2,urn:nabu:cantigas:1556:2,7ef56b093ea33d0ca80c2eba229da27d739dc07286cab6d14967a1b34925a7f5,c-1556,2,1,,m'aveo que sempre guari
l-1556-3,urn:nabu:cantigas:1556:3,92e2d1369cd0e3a7f51e6c62c743c48a9a69ab6596d19d5bf7f49c584a90bd39,c-1556,3,1,,per pé de cavalo; mais ôi-
l-1556-4,urn:nabu:cantigas:1556:4,412eb3021b058cb5fd97a2f898ba87060d95ac9f41f5f917f90a275f13d451d5,c-1556,4,1,,mais nom sei que seja de mi
l-1556-5,urn:nabu:cantigas:1556:5,b68144ffc5569df08ba57eca9142404579293ae32975a985a99828708a851013,c-1556,5,1,,senom guarir per pé de boi.
l-1556-6,urn:nabu:cantigas:1556:6,1339c096be5dee69780c0e510cd4d60a3122d6df83073ff69b1bc4c2c5017c50,c-1556,6,2,,Quantos perigos i passei
l-1556-7,urn:nabu:cantigas:1556:7,354d4bfdca84fbcc508d52cd4ed51235760e08cb8d1b43321c86c3b4b1118b43,c-1556,7,2,,"per pé de caval', e 'scapei,"
l-1556-8,urn:nabu:cantigas:1556:8,e96a8f0bcdc4b7c92cd162a9e54ede73cfef54a8306bf0d6ea08b642a44ff738,c-1556,8,2,,que nom prix i cajom; mais ôi-
l-1556-9,urn:nabu:cantigas:1556:9,cc7a44c13dccc67ba0802388040595b202eac9a8226104e63f0694ae936e86e7,c-1556,9,2,,mais nom sei eu que mi farei
l-1556-10,urn:nabu:cantigas:1556:10,023966ee59d13386aabc09f2b601d3fe2e297067b00452eac887a0ecf101fc09,c-1556,10,2,,senom guarir per pé de boi.
l-1556-11,urn:nabu:cantigas:1556:11,6c0ad13ea667d90feb3bb509ae7a675ed8c9ed67c47f1da246236ca752d80098,c-1556,11,3,,"Por valer mais e por haver,"
l-1556-12,urn:nabu:cantigas:1556:12,6ed90a64d9931601c7eae09d16a62a2d3b83bfd203fba14878153a76853bcd91,c-1556,12,3,,conselh'houvi de guarecer
l-1556-13,urn:nabu:cantigas:1556:13,a8a1f78c633c9244a3727dfbbf4a885551d2f7f7712971552cb92c02d7c7ee0c,c-1556,13,3,,per pé de cavalo; mais ôi-
l-1556-14,urn:nabu:cantigas:1556:14,e619f7c12b6490a5a136bebed1aa1aaab85da24616f44c4c54f41da784d56f6e,c-1556,14,3,,mais nom sei a que mi afazer
l-1556-15,urn:nabu:cantigas:1556:15,5170e90f1b79d26b3f3d0ee44b37b852c508f10e65685485b61fc8926ca12663,c-1556,15,3,,senom guarir per pé de boi.
l-1556-16,urn:nabu:cantigas:1556:16,23d7059cffe87566d915098a515bc9d52ad591075e33a9bcadda6f840429bf49,c-1556,16,4,,"Lavrar, lazerar, e viver"
l-1556-17,urn:nabu:cantigas:1556:17,02df522820c6092a9c387e3cd0e4fb85c58e5f5d10c2e627a1bc31e46bfa0cd8,c-1556,17,4,,- ôimais guarir per pé de boi!
l-1557-1,urn:nabu:cantigas:1557:1,e4830d49dc900e4d28c0d99966f63773b8eef8a4068b28828b4f96b189c36647,c-1557,1,1,,"Os vossos meus maravedis, senhor,"
l-1557-2,urn:nabu:cantigas:1557:2,073519c299c94cffd7c94ed28741c5065d9bc971b04bcc237978d5d7a7c2c37c,c-1557,2,1,,"que eu nom houvi, que servi melhor"
l-1557-3,urn:nabu:cantigas:1557:3,4863b4591285184d78fff8feb9b142072a479e9a1758381d1809c81919250872,c-1557,3,1,,"ou tam bem come outr'a que os dam,"
l-1557-4,urn:nabu:cantigas:1557:4,108260c64c2ed51cdf88b4acc170734a954cb3910698dcc072f37eaca5262c9b,c-1557,4,1,,"hei-os d'haver enquant'eu vivo for,"
l-1557-5,urn:nabu:cantigas:1557:5,5aade4a4b8c8b8cb74dc77297ec6eca627039435b2536f3d5b2ab0abd27e8d7c,c-1557,5,1,,"ou à mia mort', ou quando mi os darám?"
l-1557-6,urn:nabu:cantigas:1557:6,a89f9ec4da0cfcc8447c9835e9906675643562985ef93148de5fa1df0d6f41cf,c-1557,6,2,,"A vossa mia soldada, senhor Rei,"
l-1557-7,urn:nabu:cantigas:1557:7,3f30848cba2ec3f5e80510f37ae5eb088f6eec9fa5c94ca1b9abc8cc8723cb2a,c-1557,7,2,,"que eu servi e serv'e servirei,"
