ID,Language_ID,Lemma,Present,Past,Future,Imperative,Analysis_Source,Comment,Source
v-67e86e38de6c-KN,xct,སྐོང,སྐོང,བསྐངས,བསྐང,སྐོངས,KN,,tvd
v-b57582683f56-TDC,xct,སྐོང,སྐོང,བསྐོངས,བསྐོང,སྐོངས,TDC,,tvd
v-b57582683f56-PH,xct,སྐོང,སྐོང,བསྐོངས,བསྐོང,སྐོངས,PH,,tvd
v-1e1aed5dbc70-GT,xct,སྐོན,སྐོན,བསྐོན༼ད༽,བསྐོན,སྐོན༼ད༽,GT,,tvd
v-7c5b9d69db56-KN,xct,སྐོན,སྐོན,བསྐོན,སྐོན,སྐོན,KN,,tvd
v-c00815763532-TDC,xct,སྐོན,སྐོན,བསྐོན,བསྐོན,སྐོན,TDC,,tvd
v-c00815763532-PH,xct,སྐོན,སྐོན,བསྐོན,བསྐོན,སྐོན,PH,,tvd
v-efa90291eff9-TDC,xct,སྐོམ,སྐོམ,སྐོམས,སྐོམ,,TDC,,tvd
v-efa90291eff9-PH,xct,སྐོམ,སྐོམ,སྐོམས,སྐོམ,,PH,,tvd
v-3b5251b919c0-GT,xct,སྐོར,སྐོར,བསྐོར༼ད༽,བསྐོར,སྐོར༼ད༽,GT,,tvd
v-c47afe661111-KN,xct,སྐོར,སྐོར,བསྐོར,སྐོར,སྐོར,KN,,tvd
v-be58c2c363c8-TDC,xct,སྐོར,སྐོར,བསྐོར,བསྐོར,སྐོར,TDC,,tvd
v-be58c2c363c8-PH,xct,སྐོར,སྐོར,བསྐོར,བསྐོར,སྐོར,PH,,tvd
v-abe7c31f7521-GT,xct,སྐོལ,སྐོལ,བསྐོལ༼ད༽,བསྐོལ,སྐོལ༼ད༽,GT,,tvd
v-8e5003ed59b5-TDC,xct,སྐོལ,སྐོལ,བསྐོལ,བསྐོལ,སྐོལ,TDC,,tvd
v-8e5003ed59b5-PH,xct,སྐོལ,སྐོལ,བསྐོལ,བསྐོལ,སྐོལ,PH,,tvd
v-b53bdb2e4740-GT,xct,སྐྱ,སྐྱ,བསྐྱས,བསྐྱ,སྐྱས,GT,,tvd
v-b20843a0b3e4-TDC,xct,སྐྱ,སྐྱ,བསྐྱས,བསྐྱ,སྐྱོས,TDC,,tvd
v-b20843a0b3e4-PH,xct,སྐྱ,སྐྱ,བསྐྱས,བསྐྱ,སྐྱོས,PH,,tvd
v-e84284ffd5de-GT,xct,སྐྱད,སྐྱད,བསྐྱད,བསྐྱད,སྐྱད,GT,,tvd
v-d6db84f2f1c0-TDC,xct,སྐྱི,སྐྱི,བསྐྱིས,བསྐྱི,སྐྱིས,TDC,,tvd
v-d6db84f2f1c0-PH,xct,སྐྱི,སྐྱི,བསྐྱིས,བསྐྱི,སྐྱིས,PH,,tvd
v-d6db84f2f1c0-GT,xct,སྐྱི,སྐྱི,བསྐྱིས,བསྐྱི,སྐྱིས,GT,,tvd
v-d6db84f2f1c0-KN,xct,སྐྱི,སྐྱི,བསྐྱིས,བསྐྱི,སྐྱིས,KN,,tvd
v-19add7f3e1b0-GT,xct,སྐྱིག,སྐྱིག,བསྐྱིགས,བསྐྱིག,སྐྱིགས,GT,,tvd
v-e5c8adb7335d-GT,xct,སྐྱིན,སྐྱིན,བསྐྱིན༼ད༽,བསྐྱིན,སྐྱིན༼ད༽,GT,,tvd
v-e58e729d955b-GT,xct,སྐྱིལ,སྐྱིལ,བསྐྱིལ༼ད༽,བསྐྱིལ,སྐྱིལ༼ད༽,GT,,tvd
v-6a6fa833efaa-TDC,xct,སྐྱིལ,སྐྱིལ,བསྐྱིལ,བསྐྱིལ,སྐྱིལ,TDC,,tvd
