ID,Old_Form,New_Form,Lane,Source
u8072-u58f0,聲,声,kanjidic,kanjidic2
u58f9-u58f1,壹,壱,kanjidic,kanjidic2
u8b8a-u5909,變,変,kanjidic,kanjidic2
u5913-u590f,夓,夏,kanjidic,kanjidic2
u591b-u591a,夛,多,kanjidic,kanjidic2
u5923-u5922,夣,夢,kanjidic-merge,kanjidic2
u68a6-u5922,梦,夢,kanjidic-merge,kanjidic2
u7ad2-u5947,竒,奇,kanjidic,kanjidic2
u67f0-u5948,柰,奈,kanjidic,kanjidic2
u5db4-u5965,嶴,奥,kanjidic,kanjidic2
u734e-u5968,獎,奨,kanjidic,kanjidic2
u59d9-u598a,姙,妊,kanjidic,kanjidic2
u7385-u5999,玅,妙,kanjidic,kanjidic2
u5992-u59ac,妒,妬,kanjidic,kanjidic2
u59ca-u59c9,姊,姉,kanjidic,kanjidic2
u4e68-u59cb,乨,始,kanjidic-merge,kanjidic2
u5158-u59cb,兘,始,kanjidic-merge,kanjidic2
u5a63-u59fb,婣,姻,kanjidic,kanjidic2
u58fb-u5a7f,壻,婿,kanjidic-merge,kanjidic2
u805f-u5a7f,聟,婿,kanjidic-merge,kanjidic2
u5b78-u5b66,學,学,kanjidic-merge,kanjidic2
u6585-u5b66,斅,学,kanjidic-merge,kanjidic2
u6588-u5b66,斈,学,kanjidic-merge,kanjidic2
u57a8-u5b88,垨,守,kanjidic,kanjidic2
u519d-u5b9c,冝,宜,kanjidic-merge,kanjidic2
u5b90-u5b9c,宐,宜,kanjidic-merge,kanjidic2
u5bda-u5b9d,寚,宝,kanjidic-merge,kanjidic2
u5bf3-u5b9d,寳,宝,kanjidic-merge,kanjidic2
u5bf6-u5b9d,寶,宝,kanjidic-merge,kanjidic2
u5bcd-u5be7,寍,寧,kanjidic,kanjidic2
u5bb7-u5be9,宷,審,kanjidic,kanjidic2
u5c0d-u5bfe,對,対,kanjidic,kanjidic2
u53de-u5c09,叞,尉,kanjidic,kanjidic2
u51e5-u5c45,凥,居,kanjidic,kanjidic2
u5c46-u5c4a,屆,届,kanjidic,kanjidic2
u5c6c-u5c5e,屬,属,kanjidic,kanjidic2
u5dbd-u5cb3,嶽,岳,kanjidic,kanjidic2
u5d8c-u5cf6,嶌,島,kanjidic,kanjidic2
u5db9-u5cf6,嶹,島,kanjidic,kanjidic2
u5393-u5d16,厓,崖,kanjidic,kanjidic2
u6b78-u5e30,歸,帰,kanjidic-merge,kanjidic2
u7688-u5e30,皈,帰,kanjidic-merge,kanjidic2
u8cec-u5e33,賬,帳,kanjidic,kanjidic2
u5183-u5e3d,冃,帽,kanjidic,kanjidic2
u5e64-u5e63,幤,幣,kanjidic,kanjidic2
u79ca-u5e74,秊,年,kanjidic,kanjidic2
u69a6-u5e79,榦,幹,kanjidic,kanjidic2
u5ef0-u5e81,廰,庁,kanjidic,kanjidic2
u5ee2-u5ec3,廢,廃,kanjidic,kanjidic2
u74e3-u5f01,瓣,弁,kanjidic-merge,kanjidic2
u8fa7-u5f01,辧,弁,kanjidic-merge,kanjidic2
u8fa8-u5f01,辨,弁,kanjidic-merge,kanjidic2
u8fae-u5f01,辮,弁,kanjidic-merge,kanjidic2
u8faf-u5f01,辯,弁,kanjidic-merge,kanjidic2
u630a-u5f04,挊,弄,kanjidic-merge,kanjidic2
u6335-u5f04,挵,弄,kanjidic-merge,kanjidic2
u8cae-u5f10,貮,弐,kanjidic-merge,kanjidic2
u8cb3-u5f10,貳,弐,kanjidic-merge,kanjidic2
u7576-u5f53,當,当,kanjidic,kanjidic2
u5f83-u5f80,徃,往,kanjidic,kanjidic2
u5fb0-u5f81,徰,征,kanjidic,kanjidic2
u5f91-u5f84,徑,径,kanjidic-merge,kanjidic2
u9015-u5f84,逕,径,kanjidic-merge,kanjidic2
u60b3-u5fb3,悳,徳,kanjidic,kanjidic2
u5fc4-u5fc3,忄,心,kanjidic,kanjidic2
u607e-u5fd9,恾,忙,kanjidic,kanjidic2
u6091-u6016,悑,怖,kanjidic,kanjidic2
u6056-u601d,恖,思,kanjidic,kanjidic2
u6060-u602a,恠,怪,kanjidic,kanjidic2
u6200-u604b,戀,恋,kanjidic,kanjidic2
u803b-u6065,耻,恥,kanjidic,kanjidic2
u5fe2-u609f,忢,悟,kanjidic,kanjidic2
u6071-u60a6,恱,悦,kanjidic,kanjidic2
u60f1-u60a9,惱,悩,kanjidic,kanjidic2
u6158-u60e8,慘,惨,kanjidic,kanjidic2
u6187-u61a9,憇,憩,kanjidic,kanjidic2
u8931-u61d0,褱,懐,kanjidic,kanjidic2
u623e-u623b,戾,戻,kanjidic,kanjidic2
u64c7-u629e,擇,択,kanjidic,kanjidic2
u64d4-u62c5,擔,担,kanjidic,kanjidic2
u64da-u62e0,據,拠,kanjidic,kanjidic2
u6304-u62e1,挄,拡,kanjidic-merge,kanjidic2
u64f4-u62e1,擴,拡,kanjidic-merge,kanjidic2
u64e7-u6319,擧,挙,kanjidic-merge,kanjidic2
u8209-u6319,舉,挙,kanjidic-merge,kanjidic2
u633e-u631f,挾,挟,kanjidic,kanjidic2
u63d2-u633f,插,挿,kanjidic,kanjidic2
u57fd-u6383,埽,掃,kanjidic,kanjidic2
u64d1-u63a5,擑,接,kanjidic,kanjidic2
u64d5-u643a,擕,携,kanjidic-merge,kanjidic2
u651c-u643a,攜,携,kanjidic-merge,kanjidic2
u64f5-u6469,擵,摩,kanjidic,kanjidic2
u64a1-u64cd,撡,操,kanjidic,kanjidic2
u8d01-u6557,贁,敗,kanjidic,kanjidic2
u6578-u6570,數,数,kanjidic,kanjidic2
u65c9-u6577,旉,敷,kanjidic,kanjidic2
u4e9d-u6589,亝,斉,kanjidic,kanjidic2
u658a-u6589,斊,斉,kanjidic,kanjidic2
u9f4b-u658e,齋,斎,kanjidic,kanjidic2
u65b7-u65ad,斷,断,kanjidic,kanjidic2
u820a-u65e7,舊,旧,kanjidic,kanjidic2
u6680-u65fa,暀,旺,kanjidic,kanjidic2
u66fb-u6607,曻,昇,kanjidic,kanjidic2
u6719-u660e,朙,明,kanjidic,kanjidic2
u76a8-u661f,皨,星,kanjidic,kanjidic2
u65fe-u6625,旾,春,kanjidic,kanjidic2
u6630-u662f,昰,是,kanjidic,kanjidic2
u65f9-u6642,旹,時,kanjidic,kanjidic2
u669c-u666e,暜,普,kanjidic,kanjidic2
u6692-u6674,暒,晴,kanjidic,kanjidic2
u53af-u66a6,厯,暦,kanjidic,kanjidic2
u66fa-u66f9,曺,曹,kanjidic,kanjidic2
u51a3-u6700,冣,最,kanjidic,kanjidic2
u671e-u671f,朞,期,kanjidic,kanjidic2
u5932-u672c,夲,本,kanjidic,kanjidic2
u6a86-u6749,檆,杉,kanjidic,kanjidic2
u67a9-u677e,枩,松,kanjidic-merge,kanjidic2
u67d7-u677e,柗,松,kanjidic-merge,kanjidic2
u68a5-u677e,梥,松,kanjidic-merge,kanjidic2
u6a1e-u67a2,樞,枢,kanjidic,kanjidic2
u687a-u67f3,桺,柳,kanjidic,kanjidic2
u67f9-u67ff,柹,柿,kanjidic,kanjidic2
u6764-u6803,杤,栃,kanjidic,kanjidic2
u6852-u6851,桒,桑,kanjidic,kanjidic2
u68e7-u685f,棧,桟,kanjidic,kanjidic2
u5f03-u68c4,弃,棄,kanjidic,kanjidic2
u68ca-u68cb,棊,棋,kanjidic-merge,kanjidic2
u6ab1-u68cb,檱,棋,kanjidic-merge,kanjidic2
u6858-u690e,桘,椎,kanjidic,kanjidic2
u6a13-u697c,樓,楼,kanjidic,kanjidic2
u69ea-u6982,槪,概,kanjidic,kanjidic2
u6784-u69cb,构,構,kanjidic,kanjidic2
u6b0a-u6a29,權,権,kanjidic,kanjidic2
u69d7-u6a4b,槗,橋,kanjidic,kanjidic2
u7f3a-u6b20,缺,欠,kanjidic-merge,kanjidic2
u7f3c-u6b20,缼,欠,kanjidic-merge,kanjidic2
u6b50-u6b27,歐,欧,kanjidic,kanjidic2
u6b35-u6b3e,欵,款,kanjidic,kanjidic2
u6b61-u6b53,歡,歓,kanjidic,kanjidic2
u9f52-u6b6f,齒,歯,kanjidic,kanjidic2
u4e97-u6b73,亗,歳,kanjidic,kanjidic2
u6b98-u6b8b,殘,残,kanjidic,kanjidic2
u6bc6-u6bb4,毆,殴,kanjidic,kanjidic2
u715e-u6bba,煞,殺,kanjidic,kanjidic2
u58f3-u6bbb,壳,殻,kanjidic-merge,kanjidic2
u6bbc-u6bbb,殼,殻,kanjidic-merge,kanjidic2
u5936-u6bd4,夶,比,kanjidic,kanjidic2
u7081-u6c17,炁,気,kanjidic,kanjidic2
u51b0-u6c37,冰,氷,kanjidic,kanjidic2
u6c59-u6c5a,汙,汚,kanjidic,kanjidic2
u51b3-u6c7a,决,決,kanjidic,kanjidic2
u6c89-u6c88,沉,沈,kanjidic,kanjidic2
u51b2-u6c96,冲,沖,kanjidic,kanjidic2
u6c92-u6ca1,沒,没,kanjidic,kanjidic2
u6fa4-u6ca2,澤,沢,kanjidic,kanjidic2
u51b5-u6cc1,况,況,kanjidic,kanjidic2
u4f71-u6cd5,佱,法,kanjidic-merge,kanjidic2
u704b-u6cd5,灋,法,kanjidic-merge,kanjidic2
u576d-u6ce5,坭,泥,kanjidic,kanjidic2
u5933-u6cf0,夳,泰,kanjidic-merge,kanjidic2
u23cfe-u6cf0,𣳾,泰,kanjidic-merge,kanjidic2
u6dfa-u6d45,淺,浅,kanjidic,kanjidic2
u6ff1-u6d5c,濱,浜,kanjidic-merge,kanjidic2
u6ff5-u6d5c,濵,浜,kanjidic-merge,kanjidic2
u6cea-u6d99,泪,涙,kanjidic,kanjidic2
u6f04-u6daf,漄,涯,kanjidic,kanjidic2
u5a6c-u6deb,婬,淫,kanjidic,kanjidic2
u6c97-u6dfb,沗,添,kanjidic,kanjidic2
u6fdf-u6e08,濟,済,kanjidic,kanjidic2
u6b6e-u6e0b,歮,渋,kanjidic,kanjidic2
u6f80-u6e0b,澀,渋,kanjidic,kanjidic2
u5d60-u6e13,嵠,渓,kanjidic-merge,kanjidic2
u6eaa-u6e13,溪,渓,kanjidic-merge,kanjidic2
u78ce-u6e13,磎,渓,kanjidic-merge,kanjidic2
u8c3f-u6e13,谿,渓,kanjidic-merge,kanjidic2
u51cf-u6e1b,减,減,kanjidic,kanjidic2
u6d8c-u6e67,涌,湧,kanjidic,kanjidic2
u7063-u6e7e,灣,湾,kanjidic,kanjidic2
u6eff-u6e80,滿,満,kanjidic,kanjidic2
u53b5-u6e90,厵,源,kanjidic,kanjidic2
u51d6-u6e96,凖,準,kanjidic,kanjidic2
u687c-u6f06,桼,漆,kanjidic,kanjidic2
u5c5a-u6f0f,屚,漏,kanjidic,kanjidic2
u71b3-u6f2b,熳,漫,kanjidic,kanjidic2
u6d2f-u6f54,洯,潔,kanjidic,kanjidic2
u6f5b-u6f5c,潛,潜,kanjidic-merge,kanjidic2
u6ff3-u6f5c,濳,潜,kanjidic-merge,kanjidic2
u4f19-u706b,伙,火,kanjidic,kanjidic2
u707e-u707d,灾,災,kanjidic-merge,kanjidic2
u70d6-u707d,烖,災,kanjidic-merge,kanjidic2
u7210-u7089,爐,炉,kanjidic,kanjidic2
u9ede-u70b9,點,点,kanjidic,kanjidic2
u70df-u7159,烟,煙,kanjidic,kanjidic2
u66cc-u7167,曌,照,kanjidic-merge,kanjidic2
u77be-u7167,瞾,照,kanjidic-merge,kanjidic2
u72a7-u72a0,犧,犠,kanjidic,kanjidic2
